t,p,sd_p,lsd_p,tc,mld,dmld,light,n0
4.00989,1.241090868,0.771567698,0.571644187,0,61.79658127,0.00225544,21.44522066,3.763404249
11.985505,1.071711094,0.998787925,0.790669815,8,61.81462479,0.095594883,21.31196034,3.767286821
20.00565,1.328197736,0.965450415,0.651305522,16,62.57938385,0.095594883,21.56878933,3.872945517
27.9809,1.232327396,0.885413736,0.645154779,24,63.34414291,0.095594883,23.94324603,3.979962031
36.001045,1.483942642,1.042464151,0.633342737,32,64.10890198,-0.097516537,26.73444411,4.124311713
44.020825,1.083283623,0.707513208,0.596044573,40,63.32876968,-0.676851273,31.74745524,4.308161938
51.99644,1.491261887,0.958028981,0.58780341,48,57.9139595,-0.676851749,39.04527522,3.854753209
60.016585,1.910764528,1.121633962,0.544132754,56,52.49914551,-0.676851273,41.77832334,3.403200463
67.991835,1.885088302,1.298106566,0.622986613,64,47.08433533,0.624980927,52.11932456,2.914705367
76.01198,3.345091321,2.039012528,0.562090369,72,52.08418274,1.058925152,57.23894396,3.050046691
83.987595,2.232252075,1.728416302,0.685353374,80,60.55558395,1.058925152,60.73278739,3.832556866
92.007375,2.880701887,1.21190883,0.403681112,88,69.02698517,1.058925629,60.66494577,4.515377778
99.98299,2.801936604,1.581108679,0.525773396,96,77.4983902,-1.491372108,76.50596404,5.491611228
108.00277,2.431883019,0.923136755,0.366896849,104,65.56741333,-1.855699539,79.25597256,4.204299721
115.978385,2.588579623,0.865101283,0.325392971,112,50.72181702,-1.855700016,84.05092135,2.70858404
123.99853,3.103752453,1.255187321,0.389195597,120,35.87621689,-1.663571596,94.01394783,2.553906118
132.01831,5.120332075,2.668479245,0.490180329,128,22.56764412,-0.318675995,106.2181707,2.630009948
139.993925,10.66039245,6.095334792,0.53185015,136,20.01823616,-0.318675995,107.7688363,2.826072121
148.01407,10.26487849,4.222982792,0.395427985,144,17.4688282,-0.318675995,111.7496856,3.115667033
155.98932,8.997079245,3.40574566,0.365939399,152,14.91942024,-0.251809835,117.4798796,3.373763202
164.009465,9.431171321,2.732396981,0.283901915,160,12.90494156,-0.051211119,119.8737196,3.345063232
171.984715,8.831542642,2.346899774,0.261220468,168,12.49525261,-0.051211119,124.9521495,3.259928066
180.00486,6.252411321,2.055867472,0.320409799,176,12.08556366,-0.051211238,113.7316301,3.170401034
187.980475,5.275959245,2.238975547,0.406931074,184,11.67587376,-0.021782517,113.8624675,3.144294732
196.000255,3.815406792,1.656596528,0.41558005,192,11.50161362,0.007646084,114.1289882,3.226745438
204.0204,4.313193962,1.449023094,0.327011037,200,11.56278229,0.007646084,114.7734836,3.306162747
211.996015,3.539590943,1.693564226,0.45402809,208,11.62395096,0.007646084,95.462851,3.385595842
220.015795,3.148531321,1.426471849,0.432085274,216,11.68511963,0.08947885,92.79279867,3.424936005
227.99141,2.855879245,1.477428528,0.486978726,224,12.40095043,0.138578296,89.83199654,3.41598812
236.01119,2.222499623,0.882930566,0.382807177,232,13.5095768,0.138578296,94.11328734,3.40213029
243.986805,2.698172075,0.987254038,0.354466012,240,14.61820316,0.138578296,97.91484098,3.38827246
252.00695,2.911901887,0.811821887,0.27359377,248,15.72682953,0.104179859,94.84743059,4.250017395
259.9822,2.769245283,0.920385811,0.323692878,256,16.5602684,0.092713833,87.07229635,5.641863997
268.002345,3.520596226,1.197659321,0.330917033,264,17.30197906,0.092713594,85.07823731,7.036226249
275.97796,2.891847547,1.275340377,0.421569536,272,18.04368782,0.092713833,79.82051176,8.432012603
283.99774,2.622193208,0.771162415,0.288013305,280,18.78539848,0.317929983,66.46055845,7.902825726
292.017885,2.415370566,1.986525434,0.718793812,288,21.32883835,0.317929745,50.24883418,7.081402022
