lon,lat,w_median,w_lb68,w_ub68,w_lb95,w_ub95
111.5,45.5,0.004388,0.0041686,0.0046074,0.0039492,0.0048268
101.5,43.5,0.004782,0.0045429,0.0050211,0.0043038,0.0052602
36.5,29.5,0.005864,0.0055708,0.0061572,0.0052776,0.0064504
57.5,46.5,0.006658,0.0063251,0.0069909,0.0059922,0.0073238
59.5,47.5,0.006699,0.00636405,0.00703395,0.0060291,0.0073689
22.5,8.5,0.008326,0.0079097,0.0087423,0.0074934,0.0091586
11.5,1.5,0.009232,0.0087704,0.0096936,0.0083088,0.0101552
12.5,2.5,0.009235,0.00877325,0.00969675,0.0083115,0.0101585
38.5,31.5,0.009529,0.00905255,0.01000545,0.0085761,0.0104819
83.5,50.5,0.010002,0.0095019,0.0105021,0.0090018,0.0110022
102.5,12.5,0.01333,0.0126635,0.0139965,0.011997,0.014663
125.5,-16.5,0.014919,0.01417305,0.01566495,0.0134271,0.0164109
-62.5,-21.5,0.015612,0.0148314,0.0163926,0.0140508,0.0171732
-65.5,-44.5,0.016751,0.01591345,0.01758855,0.0150759,0.0184261
16.5,-1.5,0.01764,0.016758,0.018522,0.015876,0.019404
-82.5,52.5,0.018971,0.01802245,0.01991955,0.0170739,0.0208681
37.5,26.5,0.020477,0.01945315,0.02150085,0.0184293,0.0225247
-64.5,10.5,0.02055,0.0195225,0.0215775,0.018495,0.022605
48.5,14.5,0.021163,0.02010485,0.02222115,0.0190467,0.0232793
55.5,22.5,0.021916,0.0208202,0.0230118,0.0197244,0.0241076
30.5,60.5,0.023986,0.0227867,0.0251853,0.0215874,0.0263846
49.5,61.5,0.024047,0.02284465,0.02524935,0.0216423,0.0264517
57.5,32.5,0.025191,0.02393145,0.02645055,0.0226719,0.0277101
-40.5,-15.5,0.025996,0.0246962,0.0272958,0.0233964,0.0285956
81.5,59.5,0.026413,0.02509235,0.02773365,0.0237717,0.0290543
145.5,-17.5,0.029335,0.02786825,0.03080175,0.0264015,0.0322685
-69.5,-42.5,0.033275,0.03161125,0.03493875,0.0299475,0.0366025
105.5,41.5,0.034851,0.03310845,0.03659355,0.0313659,0.0383361
39.5,21.5,0.035065,0.03331175,0.03681825,0.0315585,0.0385715
80.5,59.5,0.035203,0.03344285,0.03696315,0.0316827,0.0387233
-116.5,49.5,0.035208,0.0334476,0.0369684,0.0316872,0.0387288
21.5,2.5,0.035274,0.0335103,0.0370377,0.0317466,0.0388014
78.5,46.5,0.040033,0.03803135,0.04203465,0.0360297,0.0440363
61.5,28.5,0.043085,0.04093075,0.04523925,0.0387765,0.0473935
78.5,58.5,0.043474,0.0413003,0.0456477,0.0391266,0.0478214
25.5,0.5,0.044277,0.04206315,0.04649085,0.0398493,0.0487047
29.5,63.5,0.044527,0.04230065,0.04675335,0.0400743,0.0489797
-95.5,30.5,0.044707,0.04247165,0.04694235,0.0402363,0.0491777
172.5,-42.5,0.045864,0.0435708,0.0481572,0.0412776,0.0504504
41.5,3.5,0.048792,0.0463524,0.0512316,0.0439128,0.0536712
-65.5,0.5,0.050338,0.0478211,0.0528549,0.0453042,0.0553718
94.5,43.5,0.053906,0.0512107,0.0566013,0.0485154,0.0592966
88.5,59.5,0.054641,0.05190895,0.05737305,0.0491769,0.0601051
67.5,59.5,0.056101,0.05329595,0.05890605,0.0504909,0.0617111
-0.5,37.5,0.056921,0.05407495,0.05976705,0.0512289,0.0626131
