Lon,Lat,wheat
111.5,45.5,0.004388
101.5,43.5,0.004782
36.5,29.5,0.005864
57.5,46.5,0.006658
59.5,47.5,0.006699
22.5,8.5,0.008326
11.5,1.5,0.009232
12.5,2.5,0.009235
38.5,31.5,0.009529
83.5,50.5,0.010002
102.5,12.5,0.01333
125.5,-16.5,0.014919
-62.5,-21.5,0.015612
-65.5,-44.5,0.016751
16.5,-1.5,0.01764
-82.5,52.5,0.018971
37.5,26.5,0.020477
-64.5,10.5,0.02055
48.5,14.5,0.021163
55.5,22.5,0.021916
30.5,60.5,0.023986
49.5,61.5,0.024047
57.5,32.5,0.025191
-40.5,-15.5,0.025996
81.5,59.5,0.026413
145.5,-17.5,0.029335
-69.5,-42.5,0.033275
105.5,41.5,0.034851
39.5,21.5,0.035065
80.5,59.5,0.035203
-116.5,49.5,0.035208
21.5,2.5,0.035274
78.5,46.5,0.040033
61.5,28.5,0.043085
78.5,58.5,0.043474
25.5,0.5,0.044277
29.5,63.5,0.044527
-95.5,30.5,0.044707
172.5,-42.5,0.045864
41.5,3.5,0.048792
-65.5,0.5,0.050338
94.5,43.5,0.053906
88.5,59.5,0.054641
67.5,59.5,0.056101
-0.5,37.5,0.056921
72.5,59.5,0.057144
-58.5,-21.5,0.059205
127.5,-15.5,0.059505
85.5,59.5,0.060763
110.5,49.5,0.061264
-63.5,10.5,0.061645
87.5,57.5,0.062723
-68.5,2.5,0.062877
40.5,-13.5,0.063863
74.5,58.5,0.064707
76.5,48.5,0.066449
103.5,43.5,0.066905
13.5,32.5,0.067375
-106.5,39.5,0.071014
1.5,34.5,0.076579
86.5,58.5,0.079021
17.5,-0.5,0.079379
47.5,15.5,0.08006
-71.5,-12.5,0.081137
57.5,58.5,0.084237
142.5,-20.5,0.088296
104.5,40.5,0.091213
120.5,-32.5,0.092985
66.5,60.5,0.094402
72.5,37.5,0.094853
28.5,24.5,0.095413
141.5,-19.5,0.102901
131.5,31.5,0.110135
144.5,-21.5,0.112534
-77.5,46.5,0.114036
-95.5,53.5,0.114396
18.5,0.5,0.114638
-61.5,6.5,0.118033
-121.5,57.5,0.120484
7.5,58.5,0.121934
43.5,17.5,0.12428
40.5,33.5,0.12496
127.5,53.5,0.125008
41.5,19.5,0.12758
56.5,48.5,0.130909
140.5,-18.5,0.131867
90.5,58.5,0.141043
117.5,52.5,0.142667
-80.5,-2.5,0.142795
-76.5,5.5,0.14358
-69.5,5.5,0.143655
20.5,2.5,0.149838
68.5,58.5,0.150784
-75.5,-1.5,0.151735
73.5,36.5,0.153586
71.5,57.5,0.163495
-104.5,55.5,0.164156
54.5,30.5,0.164511
72.5,48.5,0.165433
9.5,57.5,0.166831
59.5,59.5,0.167758
125.5,53.5,0.169301
-66.5,4.5,0.169444
-90.5,51.5,0.170142
61.5,39.5,0.176515
-67.5,-13.5,0.183205
-69.5,-29.5,0.184271
45.5,24.5,0.18928
27.5,26.5,0.191663
136.5,45.5,0.194634
89.5,59.5,0.196531
91.5,58.5,0.196851
148.5,-23.5,0.198286
96.5,44.5,0.198611
146.5,-22.5,0.19951
-115.5,55.5,0.201614
45.5,61.5,0.201946
-67.5,-35.5,0.205705
35.5,8.5,0.212977
74.5,14.5,0.214009
59.5,33.5,0.214644
42.5,35.5,0.225592
-78.5,-2.5,0.234619
-112.5,56.5,0.236753
33.5,-12.5,0.239549
19.5,-31.5,0.23963
-93.5,53.5,0.245485
-63.5,-22.5,0.245622
73.5,48.5,0.245668
19.5,2.5,0.246806
66.5,49.5,0.258644
98.5,57.5,0.25912
-74.5,10.5,0.25968
37.5,-12.5,0.262573
47.5,60.5,0.270784
100.5,6.5,0.270987
35.5,30.5,0.271395
64.5,59.5,0.27323
93.5,50.5,0.278176
-76.5,-5.5,0.280249
56.5,59.5,0.28085
-120.5,58.5,0.28433
-85.5,14.5,0.284554
106.5,51.5,0.285241
-60.5,-23.5,0.285609
-86.5,13.5,0.288021
91.5,47.5,0.294442
-68.5,-20.5,0.29964
13.5,-5.5,0.30002
23.5,0.5,0.300585
43.5,60.5,0.302226
15.5,-16.5,0.304063
29.5,-2.5,0.310472
2.5,13.5,0.322687
36.5,9.5,0.326771
97.5,57.5,0.336373
89.5,32.5,0.337747
47.5,35.5,0.338578
36.5,-12.5,0.339812
34.5,-14.5,0.340298
62.5,31.5,0.344425
22.5,-4.5,0.345647
-77.5,-12.5,0.350812
-80.5,46.5,0.361484
26.5,-4.5,0.363255
107.5,46.5,0.364356
-67.5,8.5,0.366938
80.5,37.5,0.375361
25.5,61.5,0.376639
84.5,49.5,0.382118
44.5,59.5,0.383918
12.5,13.5,0.405205
46.5,3.5,0.409812
-118.5,57.5,0.41986
42.5,57.5,0.439419
129.5,52.5,0.45492
20.5,-30.5,0.458816
14.5,60.5,0.459418
95.5,48.5,0.460193
42.5,-0.5,0.461267
44.5,-16.5,0.469025
122.5,-31.5,0.485988
86.5,30.5,0.486992
-69.5,-18.5,0.488534
139.5,-34.5,0.488896
-84.5,34.5,0.493093
-79.5,47.5,0.493529
-64.5,-22.5,0.505943
-79.5,-2.5,0.507455
90.5,47.5,0.512943
27.5,58.5,0.520055
63.5,57.5,0.523404
-65.5,-21.5,0.549519
47.5,49.5,0.551557
